0	0.0		1.0		1.0		0.0
1	0.1		1.9087588647106264		1.01		0.8987588647106264
2	0.2		1.8466053180683586		1.04		0.8066053180683586
3	0.30000000000000004		1.8029178246067743		1.09		0.7129178246067742
4	0.4		1.7772595093912575		1.1600000000000001		0.6172595093912574
5	0.5		1.769373789269653		1.25		0.519373789269653
6	0.6000000000000001		1.7791818070407446		1.36		0.4191818070407445
7	0.7000000000000001		1.8067816428822432		1.4900000000000002		0.316781642882243
8	0.8		1.8524492951525642		1.6400000000000001		0.21244929515256405
9	0.9		1.91664144037441		1.81		0.10664144037441003
10	1.0		2.0		2.0		0.0
Max error: 0.8987588647106264
0	0.0		4.0		4.0		0.0
1	0.1		4.981327148156554		4.01		0.9713271481565542
2	0.2		4.083708703084045		4.04		0.04370870308404484
3	0.30000000000000004		4.1778397563952705		4.09		0.08783975639527064
4	0.4		4.275283154089764		4.16		0.11528315408976386
5	0.5		4.3774502050790876		4.25		0.12745020507908755
6	0.6000000000000001		4.485619163025289		4.36		0.12561916302528875
7	0.7000000000000001		4.600950574709046		4.49		0.11095057470904557
8	0.8		4.724499674069486		4.640000000000001		0.08449967406948566
9	0.9		4.857225953741796		4.8100000000000005		0.047225953741795834
10	1.0		5.0		5.0		0.0
Max error: 0.9713271481565542
0	0.0		9.0		9.0		0.0
1	0.1		9.922427800932887		9.01		0.9124278009328872
2	0.2		8.902752731718547		9.04		0.1372472682814525
3	0.30000000000000004		9.791050783050453		9.09		0.7010507830504533
4	0.4		9.725509843829128		9.16		0.565509843829128
5	0.5		9.693911658662824		9.25		0.4439116586628238
6	0.6000000000000001		9.694528936788318		9.36		0.33452893678831863
7	0.7000000000000001		9.726089597324812		9.49		0.2360895973248116
8	0.8		9.787748700096998		9.64		0.14774870009699725
9	0.9		9.879067602193466		9.81		0.0690676021934653
10	1.0		10.0		10.0		0.0
Max error: 0.9124278009328872
0	0.0		16.0		16.0		0.0
1	0.1		16.806152009867475		16.01		0.7961520098674733
2	0.2		15.757937738900731		16.04		0.28206226109926824
3	0.30000000000000004		16.709405715470222		16.09		0.6194057154702222
4	0.4		15.819994628648168		16.16		0.3400053713518325
5	0.5		15.942622478665825		16.25		0.30737752133417473
6	0.6000000000000001		16.090733799415116		16.36		0.2692662005848838
7	0.7000000000000001		16.267536994866756		16.49		0.22246300513324258
8	0.8		16.47607217785606		16.64		0.16392782214393975
9	0.9		16.71926964038823		16.81		0.09073035961176856
10	1.0		17.0		17.0		0.0
Max error: 0.7961520098674733
0	0.0		25.0		25.0		0.0
1	0.1		25.574751067629634		25.01		0.5647510676296328
2	0.2		24.45909763606808		25.04		0.5809023639319193
3	0.30000000000000004		25.30240146170142		25.09		0.21240146170142182
4	0.4		24.25904705441554		25.16		0.9009529455844607
5	0.5		25.159162181065355		25.25		0.09083781893464504
6	0.6000000000000001		25.158829992686105		25.36		0.20117000731389467
7	0.7000000000000001		25.244602633502076		25.49		0.24539736649792232
8	0.8		25.414129425950712		25.64		0.22587057404928856
9	0.9		25.666065525121184		25.81		0.14393447487881517
10	1.0		26.0		26.0		0.0
Max error: 0.9009529455844607
0	0.0		36.0		36.0		0.0
1	0.1		36.273915080847516		36.01		0.2639150808475179
2	0.2		35.15581824487387		36.04		0.8841817551261286
3	0.30000000000000004		35.89968409054014		36.09		0.1903159094598621
4	0.4		34.863589519916914		36.16		1.2964104800830825
5	0.5		35.88278907741208		36.25		0.36721092258792254
6	0.6000000000000001		35.13734699174565		36.36		1.2226530082543476
7	0.7000000000000001		35.46372569102575		36.49		1.0262743089742514
8	0.8		35.87863681802088		36.64		0.7613631819791209
9	0.9		36.38858016156354		36.81		0.4214198384364636
10	1.0		37.0		37.0		0.0
Max error: 1.2964104800830825
0	0.0		49.0		49.0		0.0
1	0.1		48.865408867807375		49.01		0.1445911321926232
2	0.2		47.725556743445296		49.04		1.3144432565547035
3	0.30000000000000004		48.23497210333883		49.09		0.85502789666117
4	0.4		47.14477450262584		49.16		2.0152254973741535
5	0.5		48.0859850632286		49.25		1.1640149367714017
6	0.6000000000000001		47.23276134634524		49.36		2.127238653654757
7	0.7000000000000001		48.39650688608692		49.49		1.093493113913084
8	0.8		48.75239670974294		49.64		0.8876032902570614
9	0.9		49.28727807278133		49.81		0.5227219272186687
10	1.0		50.0		50.0		0.0
Max error: 2.127238653654757
0	0.0		64.0		64.0		0.0
1	0.1		63.38498384377452		64.01		0.6250161562254846
2	0.2		62.2784086581794		64.04		1.7615913418206048
3	0.30000000000000004		62.539878551335526		64.09		1.550121448664477
4	0.4		61.517479745749384		64.16		2.6425202542506128
5	0.5		62.449868698227235		64.25		1.8001313017727654
6	0.6000000000000001		61.715348176371606		64.36		2.6446518236283936
7	0.7000000000000001		63.13241541376578		64.49		1.3575845862342177
8	0.8		62.90383754867256		64.64		1.7361624513274379
9	0.9		63.852153775151706		64.81		0.9578462248482964
10	1.0		65.0		65.0		0.0
Max error: 2.6446518236283936
0	0.0		81.0		81.0		0.0
1	0.1		79.7937968488307		81.01		1.21620315116931
2	0.2		78.70054782237514		81.04		2.339452177624864
3	0.30000000000000004		78.58586330351298		81.09		2.5041366964870235
4	0.4		77.5889923389347		81.16		3.5710076610652948
5	0.5		78.35187999648802		81.25		2.898120003511977
6	0.6000000000000001		77.64349869594223		81.36		3.716501304057772
7	0.7000000000000001		79.07846185668932		81.49		2.411538143310679
8	0.8		78.85262187675349		81.64		2.787378123246512
9	0.9		80.76095321807256		81.81		1.0490467819274443
10	1.0		82.0		82.0		0.0
Max error: 3.716501304057772
